LocalSeq,UnitStatement,SourceRef,ContentHash,InOutStatus,SectionID,DispatchUnitID,Corrects,Notes
1,"YAML front matter: doc_id OPS-SOFTWARE-DECOMP, doc_kind decomposition.software, revision 0.7, governed_by OPS-CONTRACT.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L1|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0002,3909871a49a6,OUT,SEC-EG001-0002,UNIT-EG001-0001,,Metadata block; not a technical claim.
80,"SOW-065: The schema-backed physical model shall be the source of truth for editable piping design data, including geometry, components, supports, equipment interfaces, loads, constraints, provenance, unresolved assumptions, and warnings.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L155|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,9891f91eb50d,IN,SEC-EG001-0007,UNIT-EG001-0001,,
81,SOW-066: The product shall transform the physical model into a solver-ready analytical model deterministically and record transformation warnings when physical design data cannot be represented analytically.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L156|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,124cd2ba097d,IN,SEC-EG001-0007,UNIT-EG001-0001,,
82,"SOW-067: The product shall support user-supplied design knowledge such as endpoints, line data, routing corridors, no-go volumes, supportable zones, equipment interfaces, access constraints, slope/drain/vent requirements, and owner/project metadata.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L157|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,ccd0ae8ccaaf,IN,SEC-EG001-0007,UNIT-EG001-0001,,
83,"SOW-068: The constraint system shall validate available design knowledge for connectivity, route, clearance, support-zone, slope/drain/vent conflicts, and missing required data with provenance-aware messages.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L158|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,68caf0918d90,IN,SEC-EG001-0007,UNIT-EG001-0001,,
84,"SOW-069: All GUI and agent edits shall be represented as structured model operations that pass schema validation, constraint validation, diff preview, and controlled application through the model engine.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L159|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,8984fdea6f77,IN,SEC-EG001-0007,UNIT-EG001-0001,,
85,"SOW-070: Accepted model operations shall preserve operation history, rationale, assumptions, affected entities, and audit metadata needed for reproducible model-state review.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L160|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,cab13af5e6ef,IN,SEC-EG001-0007,UNIT-EG001-0001,,
86,"SOW-071: The product shall save named immutable model states with tags, notes, external references, unresolved assumptions, warnings, and deterministic hashes.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L161|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,d8c66e6285b5,IN,SEC-EG001-0007,UNIT-EG001-0001,,
87,"SOW-072: The product shall save analysis runs bound to exact model states, solver versions, settings, units, load cases, diagnostics, results, rule-pack references, library references, and result hashes.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L162|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,931c49b2e5e1,IN,SEC-EG001-0007,UNIT-EG001-0001,,
88,"SOW-073: The product shall compare two model states and/or two analysis runs deterministically using stable IDs, manual mappings where required, unit-normalized result deltas, and tolerance profiles.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L163|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,75456cab7572,IN,SEC-EG001-0007,UNIT-EG001-0001,,
89,"SOW-074: The product shall generate schema-compliant handoff packages with model hash, units manifest, entity IDs, library/rule references, unresolved assumptions, warnings, target mapping metadata, and unsupported-target flags.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L164|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,7193bde07029,IN,SEC-EG001-0007,UNIT-EG001-0001,,
90,"SOW-075: The product shall support external-prover workflow metadata without forcing a formal prover-status lifecycle, automatic professional acceptance record, or comprehensive commercial-tool result ingestion in the MVP.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L165|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,c6a96c8d1848,IN,SEC-EG001-0007,UNIT-EG001-0001,,
91,"SOW-076: The GUI shall support design-authoring and comparison workflows, including design knowledge panels, constraint/warning panels, state/run browsers, comparison tables, and graphical comparison overlays.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L166|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0007,e4fc98b3c032,IN,SEC-EG001-0007,UNIT-EG001-0001,,
92,"OBJ-001: Deliver an open, auditable piping stress analysis platform that engineers can inspect and extend.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L173|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0008,aad6325777b8,IN,SEC-EG001-0008,UNIT-EG001-0001,,
93,OBJ-002: Protect standards-body and vendor intellectual property by separating open mechanics from user-supplied code/data.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L174|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0008,d55a9d2a26b7,IN,SEC-EG001-0008,UNIT-EG001-0001,,
94,OBJ-003: Implement a robust global centerline/frame solver for practical piping flexibility analysis.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L175|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0008,d937e0914bcd,IN,SEC-EG001-0008,UNIT-EG001-0001,,
95,OBJ-004: Support piping-specific components and private libraries without bundling protected data.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L176|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0008,19a351f85667,IN,SEC-EG001-0008,UNIT-EG001-0001,,
96,OBJ-005: Provide user-defined rule packs that evaluate solver results against user-owned design bases.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L177|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0008,3e5c92d904f8,IN,SEC-EG001-0008,UNIT-EG001-0001,,
97,"OBJ-006: Provide a GUI workflow that makes model creation, missing data, results, and assumptions visible.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L178|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0008,0028d0a4a02b,IN,SEC-EG001-0008,UNIT-EG001-0001,,
98,OBJ-007: Generate reproducible reports and result exports suitable for professional review.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L179|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0008,aacf648f3857,IN,SEC-EG001-0008,UNIT-EG001-0001,,
99,"OBJ-008: Maintain rigorous verification, validation, regression testing, and release gates.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L180|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0008,c2cbcd5cebb2,IN,SEC-EG001-0008,UNIT-EG001-0001,,
100,OBJ-009: Enable interoperability and extensibility while preserving governance boundaries.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L181|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0008,d1a3d50565b1,IN,SEC-EG001-0008,UNIT-EG001-0001,,
101,"OBJ-010: Protect private project, code, rule-pack, and component data in local-first workflows.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L182|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0008,3bd83b6e25f7,IN,SEC-EG001-0008,UNIT-EG001-0001,,
102,OBJ-011: Preserve professional responsibility: software assists analysis but does not authenticate engineering work.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L183|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0008,23abd5a3a9d5,IN,SEC-EG001-0008,UNIT-EG001-0001,,
103,"OBJ-012: Ensure unit-safe, deterministic, and reproducible model data flow across persistence, solving, rule evaluation, automation, and reporting.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L184|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0008,50a354b85aef,IN,SEC-EG001-0008,UNIT-EG001-0001,,
104,"OBJ-013: Establish a cohesive software architecture spine for UI, backend services, persistence, jobs, APIs, diagnostics, and software-quality gates before package-level implementation proceeds.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L185|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0008,89bb8bda2794,IN,SEC-EG001-0008,UNIT-EG001-0001,,
105,"OBJ-014: Provide a schema-backed piping design model capturing physical design context, design knowledge, constraints, assumptions, and analytical transformation traceability.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L186|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0008,ea50920586bc,IN,SEC-EG001-0008,UNIT-EG001-0001,,
106,"OBJ-015: Support controlled model authoring where GUI and agent changes become validated, reviewable, auditable model operations.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L187|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0008,676178b90f0b,IN,SEC-EG001-0008,UNIT-EG001-0001,,
107,"OBJ-016: Manage immutable model states, analysis runs, and deterministic comparisons as first-class product records for design iteration and review.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L188|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0008,09a849ddcf5c,IN,SEC-EG001-0008,UNIT-EG001-0001,,
108,OBJ-017: Produce traceable handoff packages for downstream modeling and professional validation without creating automatic professional approval states.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L189|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0008,a3ced45988f1,IN,SEC-EG001-0008,UNIT-EG001-0001,,
109,"OBJ-018: Preserve professional and IP boundaries across design knowledge, constraints, operations, comparisons, reports, handoff packages, export workflows, and agent rationale.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L190|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0008,cf144af5b4c8,IN,SEC-EG001-0008,UNIT-EG001-0001,,
110,"PKG-00 Software Architecture Runway defines the implementation spine, architecture decisions, service/API boundaries, persistence/versioning strategy, GUI state model, diagnostics contract, and layered software-quality gates required before package-level implementation; it does not implement product features.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L197|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0009,27c0d191ba31,IN,SEC-EG001-0009,UNIT-EG001-0001,,
111,"PKG-01 Governance, IP Boundary, and Professional Responsibility defines the product's legal, governance, contribution, and professional-boundary rules without implementing solver or GUI behavior except via requirements.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L198|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0009,dab7bd2c76c9,IN,SEC-EG001-0009,UNIT-EG001-0001,,
112,"PKG-02 Domain Model, Units, and Core Schemas defines the canonical software entities, unit system, persistence/serialization contracts, and extensibility boundaries; it does not implement numerical solving or GUI views.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L199|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0009,155f814fc7ca,IN,SEC-EG001-0009,UNIT-EG001-0001,,
113,"PKG-03 Piping Components, Materials, and Library Data Model defines material/component/section/library models and public/private data governance at the data-object level; it does not implement the rule evaluator or global solver.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L200|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0009,bdbbb2eaadff,IN,SEC-EG001-0009,UNIT-EG001-0001,,
114,"PKG-04 Solver Core and Numerical Methods implements global 3D centerline/frame mechanics, straight pipe behavior, supports, nonlinear support logic, diagnostics, and performance harnesses; it produces mechanical results, not code compliance.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L201|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0009,4eb1d668900c,IN,SEC-EG001-0009,UNIT-EG001-0001,,
115,"PKG-05 Loads, Load Cases, and Stress Recovery implements primitive loads, concentrated/distributed user loads, load-case algebra, mechanical stress recovery, and analysis-status semantics without proprietary code load combinations or allowables.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L202|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0009,a94ce4e2aae5,IN,SEC-EG001-0009,UNIT-EG001-0001,,
116,"PKG-06 Rule Packs and User-Supplied Code Check Engine implements the schema, sandboxed evaluator, required-input checks, and private lifecycle for rule packs; it ships no ASME or proprietary rule content.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L203|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0009,4e81e3cff4b4,IN,SEC-EG001-0009,UNIT-EG001-0001,,
117,"PKG-07 Graphical User Interface and Engineering Workflow implements the interactive modeler, editors, warning UX, solve-execution UX, and results views without silently supplying missing code data.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L204|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0009,bfd90be23390,IN,SEC-EG001-0009,UNIT-EG001-0001,,
118,"PKG-08 Reporting, Audit, and Reproducibility implements calculation reports, audit manifests, hashes, report-content guardrails, and exports; it does not authenticate or certify engineering work.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L205|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0009,3b123b7c0a4e,IN,SEC-EG001-0009,UNIT-EG001-0001,,
119,"PKG-09 Verification, Validation, and Quality Oracles implements mechanics benchmarks, regression suites, validation manual structure, and release quality gates; it does not replace professional review.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L206|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0009,524f8d7ec2b6,IN,SEC-EG001-0009,UNIT-EG001-0001,,
120,"PKG-10 Build, Packaging, API, and Interoperability implements public API/plugin boundaries, import/export adapters, headless execution, local FEA handoff contracts, and release packaging without embedding external proprietary tool behavior.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L207|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0009,4d8adb07b0f0,IN,SEC-EG001-0009,UNIT-EG001-0001,,
121,"PKG-11 Documentation, Examples, and Education produces user/developer guides, theory notes, tutorials, and invented-data example models; it does not publish protected standards or commercial software examples.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L208|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0009,c4d1b75664de,IN,SEC-EG001-0009,UNIT-EG001-0001,,
122,"PKG-12 Security, Privacy, and Private Data Handling implements local-first storage policies, redaction/export controls, telemetry constraints, and threat modeling; it does not operate as a cloud service unless separately authorized.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L209|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0009,94fe12b636b4,IN,SEC-EG001-0009,UNIT-EG001-0001,,
123,"PKG-13 Physical Design Knowledge and Constraint Engine implements schema-backed design knowledge, constraint provenance, constraint validation, and physical-to-analytical transformation contracts without bundling owner standards or final acceptance logic.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L210|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0009,8c2e5acf8970,IN,SEC-EG001-0009,UNIT-EG001-0001,,
124,"PKG-14 Model States, Analysis Runs, and Comparison implements immutable model-state records, analysis-run records, deterministic state/run comparison, mappings, tolerances, and comparison exports; it does not ingest commercial prover outputs comprehensively.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L211|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0009,7719b06db6d4,IN,SEC-EG001-0009,UNIT-EG001-0001,,
125,"PKG-15 Handoff and External Prover Workflow implements canonical handoff package structure, manifests, target mapping metadata, unsupported-target flags, and non-authoritative external-prover metadata boundaries without forcing a prover-status lifecycle.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L212|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0009,837ca7cd58c6,IN,SEC-EG001-0009,UNIT-EG001-0001,,
126,"PKG-16 Model Operation and Agent Proposal Framework implements structured model operations, validation/diff preview, user acceptance/audit trail, and agent rationale/professional-boundary controls; it allows no hidden mutations or autonomous engineering acceptance.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L213|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0009,cb210e85422c,IN,SEC-EG001-0009,UNIT-EG001-0001,,
127,"PKG-17 Export Format Interoperability implements deterministic export-format contracts, source-evidence basis, target profiles, stable ID maps, loss reports, external validation harness boundaries, review geometry exports, and adapter SDK surfaces without bundling commercial solvers or claiming code compliance.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L214|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0009,6c5b647ad09a,IN,SEC-EG001-0009,UNIT-EG001-0001,,
128,"PKG-00 deliverables: ADR baseline, repository/module boundary architecture, application-service command-query-job model, persistence/schema-versioning architecture, GUI state/interaction architecture, diagnostics/result-envelope contract, API boundary/adapter contract map, and layered software test/acceptance strategy (DEL-00-01..DEL-00-08).",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L223|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0011,73b7508f9189,IN,SEC-EG001-0011,UNIT-EG001-0001,,
129,"PKG-01 deliverables: project governance baseline, copyright/protected-data boundary policy, contributor certification workflow, and professional-responsibility/product-claims policy (DEL-01-01..DEL-01-04).",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L236|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0012,8f47e9b65e53,IN,SEC-EG001-0012,UNIT-EG001-0001,,
130,"PKG-02 deliverables: canonical domain model schema, unit-system/dimensional-analysis core contract, code-neutral analysis boundary model, plugin/extension domain contracts, and project persistence/round-trip serialization (DEL-02-01..DEL-02-05).",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L245|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0013,5d200cfc1c4d,IN,SEC-EG001-0013,UNIT-EG001-0001,,
131,"PKG-03 deliverables: material/section/component library schemas with provenance, bend/branch/rigid/expansion-joint component model fields, public/private import provenance checker, and pipe section/mass-property calculator (DEL-03-01..DEL-03-08).",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L255|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0014,734a0776146f,IN,SEC-EG001-0014,UNIT-EG001-0001,,
132,"PKG-04 deliverables: 3D frame stiffness kernel, straight pipe element, linear support/restraint models, nonlinear support active-set solver, sparse solver performance harness, and solver diagnostics/singularity detection (DEL-04-01..DEL-04-06).",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L268|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0015,c8f718fe3512,IN,SEC-EG001-0015,UNIT-EG001-0001,,
133,"PKG-05 deliverables: primitive load case engine, load-case algebra engine, fundamental stress recovery module, analysis status semantics, and concentrated/distributed user load application (DEL-05-01..DEL-05-05).",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L279|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0016,6be828e47ba3,IN,SEC-EG001-0016,UNIT-EG001-0001,,
134,"PKG-06 deliverables: rule-pack schema, sandboxed unit-aware expression evaluator, required-input completeness checker, private rule-pack lifecycle/checksum handling, and invented non-code example rule pack (DEL-06-01..DEL-06-05).",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L289|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0017,a0e6d379f6ab,IN,SEC-EG001-0017,UNIT-EG001-0001,,
135,"PKG-07 deliverables: 3D viewport/centerline editor, model tree/property inspector, material/component/rule-pack editors, missing-data warning/blocking UX, results viewer, accessibility baseline, solve-execution UX, and design-authoring state/comparison workspace (DEL-07-01..DEL-07-08).",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L299|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0018,28476c3eef5a,IN,SEC-EG001-0018,UNIT-EG001-0001,,
136,"PKG-08 deliverables: calculation report generator, audit manifest/model hash, warnings/assumptions/provenance report section, result export format, report protected-content linter, and state/comparison/handoff report sections (DEL-08-01..DEL-08-06).",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L312|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0019,3c53c3ff73ec,IN,SEC-EG001-0019,UNIT-EG001-0001,,
137,"PKG-09 deliverables: mechanics benchmark suite, stress recovery benchmark suite, nonlinear support regression suite, validation manual skeleton, and release quality gate checklist (DEL-09-01..DEL-09-05).",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L323|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0020,9e2503c803de,IN,SEC-EG001-0020,UNIT-EG001-0001,,
138,"PKG-10 deliverables: public API/plugin boundary, import/export adapter framework, local FEA handoff data contract, build/packaging/CI-CD pipeline, and headless CLI/structured-I/O analysis runner (DEL-10-01..DEL-10-05).",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L333|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0021,527fe749b01c,IN,SEC-EG001-0021,UNIT-EG001-0001,,
139,"PKG-11 deliverables: user guide skeleton, developer guide for solver/rule packs, theory notes on classical-to-modern centerline analysis, invented educational example models, and contributor tutorial/onboarding (DEL-11-01..DEL-11-05).",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L343|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0022,e608a6c0e167,IN,SEC-EG001-0022,UNIT-EG001-0001,,
140,"PKG-12 deliverables: local-first storage/private data paths, private data redaction/export controls, telemetry off-by-default design, secret/private-library handling, and security threat model (DEL-12-01..DEL-12-05).",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L353|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0023,f13780b4f5c2,IN,SEC-EG001-0023,UNIT-EG001-0001,,
141,"PKG-13 deliverables: design knowledge schema/provenance model, constraint entity/provenance model, constraint validation engine, and physical-to-analytical transformation contract (DEL-13-01..DEL-13-04).",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L363|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0024,da90b088b00a,IN,SEC-EG001-0024,UNIT-EG001-0001,,
142,"PKG-14 deliverables: immutable model state records, analysis run records, model-state comparison engine, analysis-run comparison engine, and comparison mapping/tolerance/export contracts (DEL-14-01..DEL-14-05).",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L372|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0025,f0e7ee618b6b,IN,SEC-EG001-0025,UNIT-EG001-0001,,
143,"PKG-15 deliverables: canonical handoff package schema/manifest, target mapping/unsupported-behavior contract, downstream modeling export workflow, and external prover boundary metadata (DEL-15-01..DEL-15-04).",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L382|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0026,a429918e9e94,IN,SEC-EG001-0026,UNIT-EG001-0001,,
144,"PKG-16 deliverables: structured model operation schema, operation validation/diff preview, user acceptance/operation audit trail, and agent rationale/professional-boundary controls (DEL-16-01..DEL-16-04).",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L391|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0027,02a476ea5947,IN,SEC-EG001-0027,UNIT-EG001-0001,,
145,"PKG-17 deliverables: CAEPIPE/export-format source basis, export package/profile/stable-ID-map contracts, native open JSON export package, CAEPIPE MBF export profile/writer, CAEPIPE external run harness/CSV parser, stress-neutral CSV/JSON package, conservative PCF subset exporter, GLB/glTF review geometry export, and export adapter SDK (DEL-17-01..DEL-17-09).",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L400|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0028,24b7ec331bb4,IN,SEC-EG001-0028,UNIT-EG001-0001,,
146,"SCA-001 authorizes PKG-00 Software Architecture Runway at SEMANTIC_READY as an architecture-basis candidate for downstream sealed brief injection, without changing PKG-00 lifecycle to ISSUED or making PKG-00 production artifacts directly authoritative outside a sealed brief.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L412|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0029,67670f69b70c,IN,SEC-EG001-0029,UNIT-EG001-0001,,
147,"AB-00-01 (DEL-00-01): Use an ADR index/template recording accepted decisions, affected packages, reconsideration triggers, and code-neutral/protected-data-free rationale; stack/runtime/framework/library choices remain TBD only where explicitly deferred. Reach: all downstream sealed briefs.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L418|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0030,2104a3287bd3,IN,SEC-EG001-0030,UNIT-EG001-0001,,
148,"AB-00-02 (DEL-00-02): Preserve layer/module responsibilities for GUI, application services, domain core, solver, rules, reports, adapters, storage, schemas, validation, and tests; dependencies point inward toward domain contracts and adapters/plugins cannot bypass governance, validation, or diagnostics.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L419|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0030,1f1475d2624d,IN,SEC-EG001-0030,UNIT-EG001-0001,,
149,"AB-00-03 (DEL-00-03): Separate commands, queries, background jobs, transactions, cancellation/progress, reproducibility metadata, and result envelopes, preserving distinctions among mechanics-solved, user-rule-checked, and human-approved states.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L420|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0030,a97c9522a6ee,IN,SEC-EG001-0030,UNIT-EG001-0001,,
150,"AB-00-04 (DEL-00-04): Project persistence must be deterministic, versioned, unit-aware, provenance-preserving, schema-governed, migration-aware, and round-trip testable; JSON payload hashes use canonical JSON with JCS-compatible canonicalization; MVP physical profile is local SQLite project store/index with rebuildable FTS5/BM25 sidecars; large external files referenced by path/URI plus hash; direct plugin/adapter SQL access is prohibited.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L421|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0030,0c67b704da35,IN,SEC-EG001-0030,UNIT-EG001-0001,,
