TraceRowID,Product,SourceLayer,SourceID,SourceAssertion,DownstreamRefs,Disposition,Notes
A-T-061,APP,DECOMPOSITION_OBJECTIVE,OBJ-005,"Expose tools only through deterministic capability policy with explicit hard-deny precedence, MCP wrappers, hooks, result budgets, and human-mediated approvals.","projects/chirality-app-dev/execution/_Decomposition/Chirality_App_vNext_SOFTWARE_DECOMP_v3_2.md#§6 OBJ-005; SOW-047-SOW-064, SOW-076",TRACED,Mapped to decomposition scope and the 51-deliverable population; live SOW rows follow.
A-T-062,APP,DECOMPOSITION_OBJECTIVE,OBJ-006,"Preserve filesystem project truth through working-root containment, SPEC layouts, lifecycle files, dependencies, snapshots, and change discipline.","projects/chirality-app-dev/execution/_Decomposition/Chirality_App_vNext_SOFTWARE_DECOMP_v3_2.md#§6 OBJ-006; SOW-024-SOW-034, SOW-075, SOW-077",TRACED,Mapped to decomposition scope and the 51-deliverable population; live SOW rows follow.
A-T-063,APP,DECOMPOSITION_OBJECTIVE,OBJ-007,Maintain agent-suite integrity and enable governed subagent delegation without expanding authority.,"projects/chirality-app-dev/execution/_Decomposition/Chirality_App_vNext_SOFTWARE_DECOMP_v3_2.md#§6 OBJ-007; SOW-005-SOW-006, SOW-017, SOW-030-SOW-031, SOW-063",TRACED,Mapped to decomposition scope and the 51-deliverable population; live SOW rows follow.
A-T-064,APP,DECOMPOSITION_OBJECTIVE,OBJ-008,"Keep validation, packaging, release, network, key, and instruction-root checks explicit and repeatable.","projects/chirality-app-dev/execution/_Decomposition/Chirality_App_vNext_SOFTWARE_DECOMP_v3_2.md#§6 OBJ-008; SOW-019-SOW-022, SOW-035-SOW-036, SOW-072-SOW-073, SOW-078",TRACED,Mapped to decomposition scope and the 51-deliverable population; live SOW rows follow.
A-T-065,APP,DECOMPOSITION_OBJECTIVE,OBJ-009,"Preserve professional boundary, product identity, and reliance-boundary ownership in docs, UI, runtime, and release behavior.","projects/chirality-app-dev/execution/_Decomposition/Chirality_App_vNext_SOFTWARE_DECOMP_v3_2.md#§6 OBJ-009; SOW-065, SOW-071, SOW-074, SOW-076-SOW-077",TRACED,Mapped to decomposition scope and the 51-deliverable population; live SOW rows follow.
A-T-066,APP,DECOMPOSITION_OBJECTIVE,OBJ-010,Preserve future domain-engine compatibility without turning domain solvers into Chirality core.,projects/chirality-app-dev/execution/_Decomposition/Chirality_App_vNext_SOFTWARE_DECOMP_v3_2.md#§6 OBJ-010; SOW-066-SOW-071,TRACED,Mapped to decomposition scope and the 51-deliverable population; live SOW rows follow.
A-T-067,APP,LIVE_SOW,DEL-00-01,SCC-002 PKG-10 Policy Proposal Closure,projects/chirality-app-dev/execution/PKG-00_DAG_Closure_and_Project_Control/1_Working/DEL-00-01_SCC-002_PKG-10_Policy_Proposal_Closure/ScopeOfWork.md#frontmatter; sha256:68d293ced1ee,TRACED,IN_PROGRESS; one of 2 project-control SOWs outside the 51 decomposition deliverables.
A-T-068,APP,LIVE_SOW,DEL-00-02,SCC-001 Runtime SDK Session Tooling Closure,projects/chirality-app-dev/execution/PKG-00_DAG_Closure_and_Project_Control/1_Working/DEL-00-02_SCC-001_Runtime_SDK_Session_Tooling_Closure/ScopeOfWork.md#frontmatter; sha256:47dea18abb59,TRACED,IN_PROGRESS; one of 2 project-control SOWs outside the 51 decomposition deliverables.
A-T-069,APP,LIVE_SOW,DEL-01-01,Governance Alignment Human Authority and Project Truth,projects/chirality-app-dev/execution/PKG-01_Product_Governance_and_Reliance_Boundaries/1_Working/DEL-01-01_Governance_Alignment_Human_Authority_and_Project_Truth/ScopeOfWork.md#frontmatter; sha256:294505b2aee0,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-070,APP,LIVE_SOW,DEL-01-02,Reliance Boundary Register,projects/chirality-app-dev/execution/PKG-01_Product_Governance_and_Reliance_Boundaries/1_Working/DEL-01-02_Reliance_Boundary_Register/ScopeOfWork.md#frontmatter; sha256:678e65809f16,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-071,APP,LIVE_SOW,DEL-01-03,Product Identity and Professional Boundary Copy,projects/chirality-app-dev/execution/PKG-01_Product_Governance_and_Reliance_Boundaries/1_Working/DEL-01-03_Product_Identity_and_Professional_Boundary_Copy/ScopeOfWork.md#frontmatter; sha256:1bca0cdb4993,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-072,APP,LIVE_SOW,DEL-01-04,Scope Boundary and Retired Scope Register,projects/chirality-app-dev/execution/PKG-01_Product_Governance_and_Reliance_Boundaries/1_Working/DEL-01-04_Scope_Boundary_and_Retired_Scope_Register/ScopeOfWork.md#frontmatter; sha256:7090242c037e,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-073,APP,LIVE_SOW,DEL-02-01,Desktop Shell and Matrix Navigation,projects/chirality-app-dev/execution/PKG-02_Desktop_Shell_Navigation_and_Operator_State/1_Working/DEL-02-01_Desktop_Shell_and_Matrix_Navigation/ScopeOfWork.md#frontmatter; sha256:cd4b81305c2c,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-074,APP,LIVE_SOW,DEL-02-02,Workbench and Pipeline Selection UX,projects/chirality-app-dev/execution/PKG-02_Desktop_Shell_Navigation_and_Operator_State/1_Working/DEL-02-02_Workbench_and_Pipeline_Selection_UX/ScopeOfWork.md#frontmatter; sha256:513741cd2c75,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-075,APP,LIVE_SOW,DEL-02-03,Working Root File Tree and Scope Scan UI,projects/chirality-app-dev/execution/PKG-02_Desktop_Shell_Navigation_and_Operator_State/1_Working/DEL-02-03_Working_Root_File_Tree_and_Scope_Scan_UI/ScopeOfWork.md#frontmatter; sha256:049776637768,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-076,APP,LIVE_SOW,DEL-02-04,Toolkit Options and Local UI State,projects/chirality-app-dev/execution/PKG-02_Desktop_Shell_Navigation_and_Operator_State/1_Working/DEL-02-04_Toolkit_Options_and_Local_UI_State/ScopeOfWork.md#frontmatter; sha256:7360bd770b3e,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-077,APP,LIVE_SOW,DEL-02-05,API Key UI and Runtime Feedback,projects/chirality-app-dev/execution/PKG-02_Desktop_Shell_Navigation_and_Operator_State/1_Working/DEL-02-05_API_Key_UI_and_Runtime_Feedback/ScopeOfWork.md#frontmatter; sha256:3517a2bfd580,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-078,APP,LIVE_SOW,DEL-03-01,AgentEnginePort and Engine Conformance Suite,projects/chirality-app-dev/execution/PKG-03_Runtime_Engine_Contract_and_Turn_Lifecycle/1_Working/DEL-03-01_AgentEnginePort_and_Engine_Conformance_Suite/ScopeOfWork.md#frontmatter; sha256:d570c30ddf6c,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-079,APP,LIVE_SOW,DEL-03-02,Thin TurnEngine and Session Locking,projects/chirality-app-dev/execution/PKG-03_Runtime_Engine_Contract_and_Turn_Lifecycle/1_Working/DEL-03-02_Thin_TurnEngine_and_Session_Locking/ScopeOfWork.md#frontmatter; sha256:0ab2d1847c47,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-080,APP,LIVE_SOW,DEL-03-03,Harness API and SSE Compatibility Adapter,projects/chirality-app-dev/execution/PKG-03_Runtime_Engine_Contract_and_Turn_Lifecycle/1_Working/DEL-03-03_Harness_API_and_SSE_Compatibility_Adapter/ScopeOfWork.md#frontmatter; sha256:dc2088fe093f,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-081,APP,LIVE_SOW,DEL-03-04,Interrupt Cancel and Terminal Outcome Handling,projects/chirality-app-dev/execution/PKG-03_Runtime_Engine_Contract_and_Turn_Lifecycle/1_Working/DEL-03-04_Interrupt_Cancel_and_Terminal_Outcome_Handling/ScopeOfWork.md#frontmatter; sha256:faa3759f607a,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-082,APP,LIVE_SOW,DEL-04-01,SDK Probe and Version Pinned Adoption Decision,projects/chirality-app-dev/execution/PKG-04_SDK_Adapter_Prompt_Provider_and_Settings/1_Working/DEL-04-01_SDK_Probe_and_Version_Pinned_Adoption_Decision/ScopeOfWork.md#frontmatter; sha256:50282f6d5834,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-083,APP,LIVE_SOW,DEL-04-02,SdkOptionsBuilder and Settings Isolation,projects/chirality-app-dev/execution/PKG-04_SDK_Adapter_Prompt_Provider_and_Settings/1_Working/DEL-04-02_SdkOptionsBuilder_and_Settings_Isolation/ScopeOfWork.md#frontmatter; sha256:24846085dff3,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-084,APP,LIVE_SOW,DEL-04-03,SdkMessageMapper and Provider Neutral Translation,projects/chirality-app-dev/execution/PKG-04_SDK_Adapter_Prompt_Provider_and_Settings/1_Working/DEL-04-03_SdkMessageMapper_and_Provider_Neutral_Translation/ScopeOfWork.md#frontmatter; sha256:be92088abb53,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-085,APP,LIVE_SOW,DEL-04-04,PersonaComposer from Instruction Root,projects/chirality-app-dev/execution/PKG-04_SDK_Adapter_Prompt_Provider_and_Settings/1_Working/DEL-04-04_PersonaComposer_from_Instruction_Root/ScopeOfWork.md#frontmatter; sha256:8070bc8ea071,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-086,APP,LIVE_SOW,DEL-04-05,Anthropic Provider Key Base URL and Network Bridge,projects/chirality-app-dev/execution/PKG-04_SDK_Adapter_Prompt_Provider_and_Settings/1_Working/DEL-04-05_Anthropic_Provider_Key_Base_URL_and_Network_Bridge/ScopeOfWork.md#frontmatter; sha256:302bd873b454,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-087,APP,LIVE_SOW,DEL-05-01,Canonical Session Folder and Legacy Session Migration,projects/chirality-app-dev/execution/PKG-05_Session_Audit_Replay_and_Tool_Result_Records/1_Working/DEL-05-01_Canonical_Session_Folder_and_Legacy_Session_Migration/ScopeOfWork.md#frontmatter; sha256:3f00d6ac5d79,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-088,APP,LIVE_SOW,DEL-05-02,HarnessEvent Schema and Append Only JSONL,projects/chirality-app-dev/execution/PKG-05_Session_Audit_Replay_and_Tool_Result_Records/1_Working/DEL-05-02_HarnessEvent_Schema_and_Append_Only_JSONL/ScopeOfWork.md#frontmatter; sha256:52107c0c5f01,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-089,APP,LIVE_SOW,DEL-05-03,Redacted RunLogger and Secret Hygiene,projects/chirality-app-dev/execution/PKG-05_Session_Audit_Replay_and_Tool_Result_Records/1_Working/DEL-05-03_Redacted_RunLogger_and_Secret_Hygiene/ScopeOfWork.md#frontmatter; sha256:b967338ac851,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-090,APP,LIVE_SOW,DEL-05-04,Runtime Replay and Transcript View,projects/chirality-app-dev/execution/PKG-05_Session_Audit_Replay_and_Tool_Result_Records/1_Working/DEL-05-04_Runtime_Replay_and_Transcript_View/ScopeOfWork.md#frontmatter; sha256:483748e94b6b,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-091,APP,LIVE_SOW,DEL-05-05,ToolResultStore and Session Artifacts,projects/chirality-app-dev/execution/PKG-05_Session_Audit_Replay_and_Tool_Result_Records/1_Working/DEL-05-05_ToolResultStore_and_Session_Artifacts/ScopeOfWork.md#frontmatter; sha256:5514e95fb5e4,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-092,APP,LIVE_SOW,DEL-06-01,ChiralityPermissionOverlay and Mode Mapping,projects/chirality-app-dev/execution/PKG-06_Permissioned_Tools_MCP_and_Hooks/1_Working/DEL-06-01_ChiralityPermissionOverlay_and_Mode_Mapping/ScopeOfWork.md#frontmatter; sha256:5eb7f244a308,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-093,APP,LIVE_SOW,DEL-06-02,SDK Read Tool Surface and Tool Validation,projects/chirality-app-dev/execution/PKG-06_Permissioned_Tools_MCP_and_Hooks/1_Working/DEL-06-02_SDK_Read_Tool_Surface_and_Tool_Validation/ScopeOfWork.md#frontmatter; sha256:b4c8355eea70,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-094,APP,LIVE_SOW,DEL-06-03,Initial Chirality MCP Read Tools,projects/chirality-app-dev/execution/PKG-06_Permissioned_Tools_MCP_and_Hooks/1_Working/DEL-06-03_Initial_Chirality_MCP_Read_Tools/ScopeOfWork.md#frontmatter; sha256:c9f358768b86,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-095,APP,LIVE_SOW,DEL-06-04,Write Edit Surface and Path Hooks,projects/chirality-app-dev/execution/PKG-06_Permissioned_Tools_MCP_and_Hooks/1_Working/DEL-06-04_Write_Edit_Surface_and_Path_Hooks/ScopeOfWork.md#frontmatter; sha256:78b0dd1ebfa7,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-096,APP,LIVE_SOW,DEL-06-05,Bash Governance and Timeout Policy,projects/chirality-app-dev/execution/PKG-06_Permissioned_Tools_MCP_and_Hooks/1_Working/DEL-06-05_Bash_Governance_and_Timeout_Policy/ScopeOfWork.md#frontmatter; sha256:0c36a84cef5b,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-097,APP,LIVE_SOW,DEL-06-06,Hook Lifecycle and Compaction Mirror,projects/chirality-app-dev/execution/PKG-06_Permissioned_Tools_MCP_and_Hooks/1_Working/DEL-06-06_Hook_Lifecycle_and_Compaction_Mirror/ScopeOfWork.md#frontmatter; sha256:7b37dce36dee,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-098,APP,LIVE_SOW,DEL-07-01,Working Root Validation and Instruction Root Protection,projects/chirality-app-dev/execution/PKG-07_Filesystem_Execution_Lifecycle_and_Dependencies/1_Working/DEL-07-01_Working_Root_Validation_and_Instruction_Root_Protection/ScopeOfWork.md#frontmatter; sha256:7b6370ef5830,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-099,APP,LIVE_SOW,DEL-07-02,Execution Root Scaffolding from Decomposition,projects/chirality-app-dev/execution/PKG-07_Filesystem_Execution_Lifecycle_and_Dependencies/1_Working/DEL-07-02_Execution_Root_Scaffolding_from_Decomposition/ScopeOfWork.md#frontmatter; sha256:d25e1fb81902,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-100,APP,LIVE_SOW,DEL-07-03,Deliverable Metadata and Document Kit Contracts,projects/chirality-app-dev/execution/PKG-07_Filesystem_Execution_Lifecycle_and_Dependencies/1_Working/DEL-07-03_Deliverable_Metadata_and_Document_Kit_Contracts/ScopeOfWork.md#frontmatter; sha256:c2590961011f,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-101,APP,LIVE_SOW,DEL-07-04,Status Transition API and MCP Tool,projects/chirality-app-dev/execution/PKG-07_Filesystem_Execution_Lifecycle_and_Dependencies/1_Working/DEL-07-04_Status_Transition_API_and_MCP_Tool/ScopeOfWork.md#frontmatter; sha256:4f0b428bd7e6,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-102,APP,LIVE_SOW,DEL-07-05,Dependencies csv v3 1 Reader Writer and Linter,projects/chirality-app-dev/execution/PKG-07_Filesystem_Execution_Lifecycle_and_Dependencies/1_Working/DEL-07-05_Dependencies_csv_v3_1_Reader_Writer_and_Linter/ScopeOfWork.md#frontmatter; sha256:bb901b558b3d,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-103,APP,LIVE_SOW,DEL-07-06,Reference Hash and Snapshot Conventions,projects/chirality-app-dev/execution/PKG-07_Filesystem_Execution_Lifecycle_and_Dependencies/1_Working/DEL-07-06_Reference_Hash_and_Snapshot_Conventions/ScopeOfWork.md#frontmatter; sha256:54ea996b8db5,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-104,APP,LIVE_SOW,DEL-08-01,Instruction Root Packaging and Agent Conformance,projects/chirality-app-dev/execution/PKG-08_Agent_Suite_Pipeline_Dispatch_and_Subagent_Governance/1_Working/DEL-08-01_Instruction_Root_Packaging_and_Agent_Conformance/ScopeOfWork.md#frontmatter; sha256:0c216f7e1b2c,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-105,APP,LIVE_SOW,DEL-08-02,Persona Alias and Agent Matrix Routing Contract,projects/chirality-app-dev/execution/PKG-08_Agent_Suite_Pipeline_Dispatch_and_Subagent_Governance/1_Working/DEL-08-02_Persona_Alias_and_Agent_Matrix_Routing_Contract/ScopeOfWork.md#frontmatter; sha256:4af8bff60d4b,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-106,APP,LIVE_SOW,DEL-08-03,Pipeline Category and Task Scope Dispatch,projects/chirality-app-dev/execution/PKG-08_Agent_Suite_Pipeline_Dispatch_and_Subagent_Governance/1_Working/DEL-08-03_Pipeline_Category_and_Task_Scope_Dispatch/ScopeOfWork.md#frontmatter; sha256:842bbfadfb4f,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-107,APP,LIVE_SOW,DEL-08-04,Type 2 Subagent Governance Bridge,projects/chirality-app-dev/execution/PKG-08_Agent_Suite_Pipeline_Dispatch_and_Subagent_Governance/1_Working/DEL-08-04_Type_2_Subagent_Governance_Bridge/ScopeOfWork.md#frontmatter; sha256:f3acebc1afbe,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-108,APP,LIVE_SOW,DEL-08-05,Subagent Child Run Records and Artifacts,projects/chirality-app-dev/execution/PKG-08_Agent_Suite_Pipeline_Dispatch_and_Subagent_Governance/1_Working/DEL-08-05_Subagent_Child_Run_Records_and_Artifacts/ScopeOfWork.md#frontmatter; sha256:a8a450712b0a,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-109,APP,LIVE_SOW,DEL-09-01,Section 8 Harness Validation Preservation,projects/chirality-app-dev/execution/PKG-09_Validation_Packaging_Security_and_Release/1_Working/DEL-09-01_Section_8_Harness_Validation_Preservation/ScopeOfWork.md#frontmatter; sha256:ff7aaf1ffb8a,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-110,APP,LIVE_SOW,DEL-09-02,Section 9 Runtime Validation Additions,projects/chirality-app-dev/execution/PKG-09_Validation_Packaging_Security_and_Release/1_Working/DEL-09-02_Section_9_Runtime_Validation_Additions/ScopeOfWork.md#frontmatter; sha256:bdb9fcf1f942,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-111,APP,LIVE_SOW,DEL-09-03,Unit and Integration Test Expansion,projects/chirality-app-dev/execution/PKG-09_Validation_Packaging_Security_and_Release/1_Working/DEL-09-03_Unit_and_Integration_Test_Expansion/ScopeOfWork.md#frontmatter; sha256:37cf7d0eda98,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-112,APP,LIVE_SOW,DEL-09-04,macOS DMG Packaging and Instruction Root Integrity,projects/chirality-app-dev/execution/PKG-09_Validation_Packaging_Security_and_Release/1_Working/DEL-09-04_macOS_DMG_Packaging_and_Instruction_Root_Integrity/ScopeOfWork.md#frontmatter; sha256:6692a8179955,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-113,APP,LIVE_SOW,DEL-09-05,CI Artifact and Release Verification Workflow,projects/chirality-app-dev/execution/PKG-09_Validation_Packaging_Security_and_Release/1_Working/DEL-09-05_CI_Artifact_and_Release_Verification_Workflow/ScopeOfWork.md#frontmatter; sha256:07299fee904f,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-114,APP,LIVE_SOW,DEL-09-06,Network Key Attachment and Renderer Security Checks,projects/chirality-app-dev/execution/PKG-09_Validation_Packaging_Security_and_Release/1_Working/DEL-09-06_Network_Key_Attachment_and_Renderer_Security_Checks/ScopeOfWork.md#frontmatter; sha256:0d01c7aa0338,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-115,APP,LIVE_SOW,DEL-10-01,DomainEngineProfile Contract Draft,projects/chirality-app-dev/execution/PKG-10_Domain_Engine_Future_Boundary/1_Working/DEL-10-01_DomainEngineProfile_Contract_Draft/ScopeOfWork.md#frontmatter; sha256:5f51e7e7af28,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-116,APP,LIVE_SOW,DEL-10-02,Protected Path and Proposal Path Policy,projects/chirality-app-dev/execution/PKG-10_Domain_Engine_Future_Boundary/1_Working/DEL-10-02_Protected_Path_and_Proposal_Path_Policy/ScopeOfWork.md#frontmatter; sha256:8c8a7a37e658,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-117,APP,LIVE_SOW,DEL-10-03,OperationProposal Record and Human Gate Workflow,projects/chirality-app-dev/execution/PKG-10_Domain_Engine_Future_Boundary/1_Working/DEL-10-03_OperationProposal_Record_and_Human_Gate_Workflow/ScopeOfWork.md#frontmatter; sha256:2e224d4f335b,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-118,APP,LIVE_SOW,DEL-10-04,Domain Profile Validation and OpenPipeStress Fixture,projects/chirality-app-dev/execution/PKG-10_Domain_Engine_Future_Boundary/1_Working/DEL-10-04_Domain_Profile_Validation_and_OpenPipeStress_Fixture/ScopeOfWork.md#frontmatter; sha256:c6efc57494f3,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-119,APP,LIVE_SOW,DEL-10-05,Domain Boundary Notices and Solver Truth Separation,projects/chirality-app-dev/execution/PKG-10_Domain_Engine_Future_Boundary/1_Working/DEL-10-05_Domain_Boundary_Notices_and_Solver_Truth_Separation/ScopeOfWork.md#frontmatter; sha256:687bc79963b0,TRACED,IN_PROGRESS; one of 51 decomposition deliverables.
A-T-120,APP,ACCEPTED_AMENDMENT,D-APP-73/SCA-APP-003,Prospectively extracts the executable harness to Root runtime while retaining App client integration and migration obligations.,projects/chirality-app-dev/execution/_Coordination/_DECISIONS/D-APP-73_RULING_2026-07-22.md#Ruled selection; projects/chirality-app-dev/execution/_ScopeChange/SCA-APP-003_2026-07-22_Shared_Runtime_Local_Agent_Pilot/Impact_Assessment.md#Surface impact,PARTIAL,"Root ownership is accepted, but the amended decomposition still states that App deliverables retain semantic ownership."
A-T-121,APP,ACCEPTED_AMENDMENT,D-APP-74/SCA-APP-004,Selects Woven Dialogue and a Work/Agents Coordination Panel without changing topology or runtime capability.,projects/chirality-app-dev/execution/_Coordination/_DECISIONS/D-APP-74_RULING_2026-07-23.md#Ruled selection; projects/chirality-app-dev/execution/_ScopeChange/SCA-APP-004_2026-07-23_Workroom_Agent_Room_IA_Redesign/Handoff_State.md#Closure verdict,TRACED,Topology remains 10 packages / 51 decomposition deliverables; live folder names remain compatibility identifiers.
A-T-122,APP,IDENTITY_WEAKNESS,APP-PRD-IDENTITY,PRD identity is exact corpus-v17 bytes rather than an internal version; duplicate §17 numbering remains.,projects/chirality-app-dev/docs/PRD.md#§17; projects/chirality-app-dev/execution/_Reconciliation/References/AUTHORITY_CORPUS.json#version 17,AMBIGUOUS,"Exact bytes are reproducible through corpus v17, but citations by document version/section alone are weak."
A-T-123,APP,COVERAGE_WEAKNESS,APP-CONTRACT-INVARIANT-REGISTER,The required-or-deferred contract invariant coverage register is absent.,projects/chirality-app-dev/execution/_Decomposition/Chirality_App_vNext_SOFTWARE_DECOMP_v3_2.md#§2.2 and §10A.4,GAP,No accepted deferral was found in the frozen basis.
A-T-124,PEC,PRD_INVARIANT,PEC-K-01,Graceful absence. No governed act may require a PEC read or write. Deleting PEC blocks nothing. The kill test (§12) passes at every release.,projects/pec/docs/PRD.md#§6 PEC-K-01; SOW-055:DEL-10-02,TRACED,Invariant is carried by the live agent overlay and decomposition/SOW population; release evidence remains future work.
A-T-125,PEC,PRD_INVARIANT,PEC-K-02,Files govern. The record tier is regenerated from sources by one command; the presence tier is expected to be lost on rebuild; the database is gitignored and safe to delete; PEC output is never citable as authority; rulings and lifecycle state remain file-native.,projects/pec/docs/PRD.md#§6 PEC-K-02; SOW-010:DEL-03-01,TRACED,Invariant is carried by the live agent overlay and decomposition/SOW population; release evidence remains future work.
A-T-126,PEC,PRD_INVARIANT,PEC-K-03,"Harness-owned consumption. Polling is performed by harnesses at moments of consequence (session start, mode transition, claim, write, dispatch, fan-in) and injected as labeled non-authoritative data. The only agent behavior is verify-before-rely.",projects/pec/docs/PRD.md#§6 PEC-K-03,TRACED,Invariant is carried by the live agent overlay and decomposition/SOW population; release evidence remains future work.
A-T-127,PEC,PRD_INVARIANT,PEC-K-04,Staleness is a comparison. Every response carries the examined-through commit SHA and per-feed freshness; consumers detect staleness structurally.,projects/pec/docs/PRD.md#§6 PEC-K-04; SOW-006:DEL-04-03,TRACED,Invariant is carried by the live agent overlay and decomposition/SOW population; release evidence remains future work.
A-T-128,PEC,PRD_INVARIANT,PEC-K-05,"Two trust tiers, never blurred. Record tier: reconciled from file truth, per-claim citations. Presence tier: TTL'd, heartbeat-aged, evaporating, honesty-labeled. Presence facts never enter record-tier citations.",projects/pec/docs/PRD.md#§6 PEC-K-05; SOW-032:DEL-06-05,TRACED,Invariant is carried by the live agent overlay and decomposition/SOW population; release evidence remains future work.
A-T-129,PEC,PRD_INVARIANT,PEC-K-06,"Observation, not participation. Read-only over Git; no leases, no claim arbitration, no merge opinions, no dispatch; conflicts surfaced, never prevented.",projects/pec/docs/PRD.md#§6 PEC-K-06; SOW-031:DEL-06-06,TRACED,Invariant is carried by the live agent overlay and decomposition/SOW population; release evidence remains future work.
A-T-130,PEC,PRD_INVARIANT,PEC-K-07,Ingest is best-effort; reconciliation is guaranteed. Streams optimize freshness; the reconciler over file truth is the source of every record-tier fact.,projects/pec/docs/PRD.md#§6 PEC-K-07; SOW-038:DEL-03-05,TRACED,Invariant is carried by the live agent overlay and decomposition/SOW population; release evidence remains future work.
A-T-131,PEC,PRD_INVARIANT,PEC-K-08,"Everything derived is explainable. Every status, verdict, and warning carries rule ID, threshold, and contributing cited sources. Drill-down never dead-ends.",projects/pec/docs/PRD.md#§6 PEC-K-08; SOW-023:DEL-05-01; SOW-050:DEL-09-06,TRACED,Invariant is carried by the live agent overlay and decomposition/SOW population; release evidence remains future work.
A-T-132,PEC,PRD_INVARIANT,PEC-K-09,Declared surface. Every coordination message is durable and attributable; no ephemeral relay.,projects/pec/docs/PRD.md#§6 PEC-K-09; SOW-039:DEL-07-01,TRACED,Invariant is carried by the live agent overlay and decomposition/SOW population; release evidence remains future work.
A-T-133,PEC,PRD_INVARIANT,PEC-K-10,"Content-minimal. Paths, counts, SHAs, states, hashes — never file or diff content.",projects/pec/docs/PRD.md#§6 PEC-K-10; SOW-056:DEL-01-03; SOW-073,TRACED,Invariant is carried by the live agent overlay and decomposition/SOW population; release evidence remains future work.
A-T-134,PEC,PRD_INVARIANT,PEC-K-11,Mode-proportional. Consumption follows §5; zero-coordination modes remain zero-contact.,projects/pec/docs/PRD.md#§6 PEC-K-11,TRACED,Invariant is carried by the live agent overlay and decomposition/SOW population; release evidence remains future work.
A-T-135,PEC,DECOMPOSITION_OBJECTIVE,OBJ-001,"Orientation for any loop is a sub-second query with per-claim citations, not a session-length prose derivation","projects/pec/execution/_Decomposition/SOFTWARE_DECOMP.md#§3 OBJ-001; scope SOW-001, SOW-003, SOW-004..009, SOW-011..017, SOW-040..043, SOW-089; instruments: SOW-058, SOW-059; deliverables DEL-00-03, DEL-01-01, DEL-02-01..07, DEL-04-01..05, DEL-08-01..04, DEL-10-01, DEL-10-04",TRACED,Accepted revision 1.2 objective mapping.
