source,basis,start_line,end_line,section,clause,disposition,destination,rationale
_DomainEngines/pec/WORKPLAN_2026-07-24_pec_coordination_plane.md,7458e9c1eb9399ed259da464207d9a507acdea2e,137,137,## Live pointers,- Project agent posture: `projects/pec/AGENTS.md`,POINT,§2,Keep locator with canonical relocation; source owns meaning and current state.
_DomainEngines/pec/WORKPLAN_2026-07-24_pec_coordination_plane.md,7458e9c1eb9399ed259da464207d9a507acdea2e,138,138,## Live pointers,- Accepted decomposition pointer: `projects/pec/execution/_Decomposition/_LATEST.md` (revision 1.4),POINT,§2,Keep locator with canonical relocation; source owns meaning and current state.
_DomainEngines/pec/WORKPLAN_2026-07-24_pec_coordination_plane.md,7458e9c1eb9399ed259da464207d9a507acdea2e,139,139,## Live pointers,- Accepted scope-change pointer: `projects/pec/execution/_ScopeChange/_LATEST.md` (SCA-004),POINT,§2,Keep locator with canonical relocation; source owns meaning and current state.
_DomainEngines/pec/WORKPLAN_2026-07-24_pec_coordination_plane.md,7458e9c1eb9399ed259da464207d9a507acdea2e,140,140,## Live pointers,- SCA-004 metadata subset closure: `projects/pec/execution/_Coordination/PROJECT_SETUP_SCA004_METADATA_ALIGNMENT_2026-08-03/HANDOFF_STATE.md`,POINT,§2,Keep locator with canonical relocation; source owns meaning and current state.
_DomainEngines/pec/WORKPLAN_2026-07-24_pec_coordination_plane.md,7458e9c1eb9399ed259da464207d9a507acdea2e,141,141,## Live pointers,- SCA-004 currency-sweep closure: `projects/pec/execution/_Coordination/WORKING_ITEMS_SCA004_CURRENCY_SWEEP_2026-08-03/HANDOFF_STATE.md`,POINT,§2,Keep locator with canonical relocation; source owns meaning and current state.
_DomainEngines/pec/WORKPLAN_2026-07-24_pec_coordination_plane.md,7458e9c1eb9399ed259da464207d9a507acdea2e,142,142,## Live pointers,- DEL-01-06 RF-002 exact acceptance: `projects/pec/execution/_Evaluation/Reviews/REV_DEL-01-06_2026-08-04_1113/Review_Summary.md`,POINT,§2,Keep locator with canonical relocation; source owns meaning and current state.
_DomainEngines/pec/WORKPLAN_2026-07-24_pec_coordination_plane.md,7458e9c1eb9399ed259da464207d9a507acdea2e,143,143,## Live pointers,- Loop handoff: `_DomainEngines/pec/LOOP_RECEIPTS.md`,POINT,§2,Keep locator with canonical relocation; source owns meaning and current state.
_DomainEngines/pec/WORKPLAN_2026-07-24_pec_coordination_plane.md,7458e9c1eb9399ed259da464207d9a507acdea2e,144,144,## Live pointers,"- Frozen reference corpus: `projects/pec/{core,server,web,agent-sidecar,tools}`",POINT,§2,Keep locator with canonical relocation; source owns meaning and current state.
_DomainEngines/pec/WORKPLAN_2026-07-24_pec_coordination_plane.md,7458e9c1eb9399ed259da464207d9a507acdea2e,145,146,## Live pointers,"- Build pipeline: `docs/DECOMPOSITION_STANDARD.md` and
  `agents/AGENT_SOFTWARE_DECOMP.md`",POINT,§2,Keep locator with canonical relocation; source owns meaning and current state.
_DomainEngines/pec/WORKPLAN_2026-07-24_pec_coordination_plane.md,7458e9c1eb9399ed259da464207d9a507acdea2e,147,147,## Live pointers,- Permanent parity peer: `tools/practitioner_harness/README.md`,POINT,§2,Keep locator with canonical relocation; source owns meaning and current state.
