CanonicalTerm,Synonyms,Definition,SourceDocs,SourceRefs,Notes,SourceCount
praxiology,praxiological commitment,"How work is done.;The study of human action and practical reasoning.;The philosophical pillar governing how work is done: the 0-1-2 agent authority model, gate-controlled workflows, brief-driven bounded pipelines, write quarantine, and physical separation of instruction root from working root.",SRC-DOCS-THESIS-01-INTRODUCTION;SRC-DOCS-THESIS-03-PHILOSOPHICAL-FRAMEWORK;SRC-DOCS-THESIS-10-CONCLUSION;SRC-DOCS-THESIS-GLOSSARY,@repo/docs/thesis/01_introduction.md:L0041|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0004;@repo/docs/thesis/03_philosophical_framework.md:L11|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-03-PHILOSOPHICAL-FRAMEWORK.html#SEC-DG015-0002;@repo/docs/thesis/03_philosophical_framework.md:L103|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-03-PHILOSOPHICAL-FRAMEWORK.html#SEC-DG015-0008;@repo/docs/thesis/10_conclusion.md:L21|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-10-CONCLUSION.html#SEC-DG022-0003;@repo/docs/thesis/10_conclusion.md:L43|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-10-CONCLUSION.html#SEC-DG022-0005;@repo/docs/thesis/glossary.md:L52|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-GLOSSARY.html#SEC-DG030-0001,One of the four pillars.;Glossary source cites DIRECTIVE.md §2,4
axiology,axiological commitment,"What the system values.;The study of value.;The philosophical pillar governing what the system values: public welfare as the first constraint, professional responsibility as personal and non-transferable, and evidence as the standard of authority over plausibility.",SRC-DOCS-THESIS-01-INTRODUCTION;SRC-DOCS-THESIS-03-PHILOSOPHICAL-FRAMEWORK;SRC-DOCS-THESIS-10-CONCLUSION;SRC-DOCS-THESIS-GLOSSARY,@repo/docs/thesis/01_introduction.md:L0041|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0004;@repo/docs/thesis/03_philosophical_framework.md:L11|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-03-PHILOSOPHICAL-FRAMEWORK.html#SEC-DG015-0002;@repo/docs/thesis/03_philosophical_framework.md:L115|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-03-PHILOSOPHICAL-FRAMEWORK.html#SEC-DG015-0009;@repo/docs/thesis/10_conclusion.md:L21|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-10-CONCLUSION.html#SEC-DG022-0003;@repo/docs/thesis/10_conclusion.md:L43|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-10-CONCLUSION.html#SEC-DG022-0005;@repo/docs/thesis/glossary.md:L11|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-GLOSSARY.html#SEC-DG030-0001,One of the four pillars.;Glossary source cites DIRECTIVE.md §2,4
six primitives,epistemic primitives,"claim, warrant, status, gap, conflict, and ruling.",SRC-DOCS-THESIS-01-INTRODUCTION,@repo/docs/thesis/01_introduction.md:L0041|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0004;@repo/docs/thesis/01_introduction.md:L0056|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0005,,1
deliverable lifecycle,,,SRC-DOCS-THESIS-01-INTRODUCTION,@repo/docs/thesis/01_introduction.md:L0041|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0004,,1
Datasheet,,"The document kit instantiation of ontology: key parameters, identification, and structured metadata.;The document kit artifact capturing key parameters, identification, and structured metadata for a deliverable; the ontological instantiation of the four-document kit.",SRC-DOCS-THESIS-01-INTRODUCTION;SRC-DOCS-THESIS-03-PHILOSOPHICAL-FRAMEWORK;SRC-DOCS-THESIS-GLOSSARY,@repo/docs/thesis/01_introduction.md:L0041|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0004;@repo/docs/thesis/03_philosophical_framework.md:L133|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-03-PHILOSOPHICAL-FRAMEWORK.html#SEC-DG015-0010;@repo/docs/thesis/glossary.md:L18|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-GLOSSARY.html#SEC-DG030-0001,Glossary source cites TYPES.md §7,3
Specification,,"The document kit instantiation of epistemology: requirements, acceptance criteria, and scope definition.",SRC-DOCS-THESIS-01-INTRODUCTION;SRC-DOCS-THESIS-03-PHILOSOPHICAL-FRAMEWORK,@repo/docs/thesis/01_introduction.md:L0041|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0004;@repo/docs/thesis/03_philosophical_framework.md:L134|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-03-PHILOSOPHICAL-FRAMEWORK.html#SEC-DG015-0010,,2
Guidance,,"The document kit instantiation of axiology: rationale, best practices, and contextual direction.;The document kit artifact containing design rationale, best practices, and contextual direction; the axiological instantiation of the four-document kit.",SRC-DOCS-THESIS-01-INTRODUCTION;SRC-DOCS-THESIS-03-PHILOSOPHICAL-FRAMEWORK;SRC-DOCS-THESIS-GLOSSARY,@repo/docs/thesis/01_introduction.md:L0041|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0004;@repo/docs/thesis/03_philosophical_framework.md:L135|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-03-PHILOSOPHICAL-FRAMEWORK.html#SEC-DG015-0010;@repo/docs/thesis/glossary.md:L33|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-GLOSSARY.html#SEC-DG030-0001,Glossary source cites TYPES.md §7,3
Procedure,,"The document kit instantiation of praxiology: workflow, sequencing, and checklists.",SRC-DOCS-THESIS-01-INTRODUCTION;SRC-DOCS-THESIS-03-PHILOSOPHICAL-FRAMEWORK,@repo/docs/thesis/01_introduction.md:L0041|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0004;@repo/docs/thesis/03_philosophical_framework.md:L136|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-03-PHILOSOPHICAL-FRAMEWORK.html#SEC-DG015-0010,,2
fault containment architecture,fault containment;formal fault containment zones,,SRC-DOCS-THESIS-01-INTRODUCTION;SRC-DOCS-THESIS-10-CONCLUSION,@repo/docs/thesis/01_introduction.md:L0043|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0004;@repo/docs/thesis/10_conclusion.md:L23|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-10-CONCLUSION.html#SEC-DG022-0003,,2
write scope quarantine,write quarantine;declared write scopes;write scopes,Mechanism that limits the blast radius of agent deviation.,SRC-DOCS-THESIS-01-INTRODUCTION;SRC-DOCS-THESIS-09-DISCUSSION;SRC-DOCS-THESIS-10-CONCLUSION,@repo/docs/thesis/01_introduction.md:L0043|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0004;@repo/docs/thesis/09_discussion.md:L38|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-09-DISCUSSION.html#SEC-DG021-0007;@repo/docs/thesis/09_discussion.md:L58|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-09-DISCUSSION.html#SEC-DG021-0010;@repo/docs/thesis/10_conclusion.md:L23|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-10-CONCLUSION.html#SEC-DG022-0003,,3
fault containment zones,containment zones,Write-scope zones with precisely bounded failure impact.,SRC-DOCS-THESIS-01-INTRODUCTION;SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS,@repo/docs/thesis/01_introduction.md:L0043|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0004;@repo/docs/thesis/07_se_design_analysis.md:L0175|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0018;@repo/docs/thesis/07_se_design_analysis.md:L0184|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0018,,2
probabilistic agents,,,SRC-DOCS-THESIS-01-INTRODUCTION,@repo/docs/thesis/01_introduction.md:L0043|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0004,,1
four-layer enforcement,,"Agent instructions, runtime orchestration, human gates, and deterministic tooling.",SRC-DOCS-THESIS-01-INTRODUCTION,@repo/docs/thesis/01_introduction.md:L0045|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0004,,1
formal methods,,"Mathematical techniques for specifying, developing, and verifying systems through specifications, type systems, invariants, and state machines.",SRC-DOCS-THESIS-01-INTRODUCTION;SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS,@repo/docs/thesis/01_introduction.md:L0045|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0004;@repo/docs/thesis/01_introduction.md:L0053|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0005;@repo/docs/thesis/07_se_design_analysis.md:L0313|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0030;@repo/docs/thesis/07_se_design_analysis.md:L0540|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0045,,2
entity model,,,SRC-DOCS-THESIS-01-INTRODUCTION,@repo/docs/thesis/01_introduction.md:L0055|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0005,,1
lifecycle state machine,deliverable lifecycle,"The production-state lifecycle for work products, including OPEN through ISSUED.;A linear six-state progression for deliverable production status.;Formal state machine with OPEN, INITIALIZED, SEMANTIC_READY, IN_PROGRESS, CHECKING, and ISSUED states.",SRC-DOCS-THESIS-01-INTRODUCTION;SRC-DOCS-THESIS-03-PHILOSOPHICAL-FRAMEWORK;SRC-DOCS-THESIS-04-ARCHITECTURE;SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS;SRC-DOCS-THESIS-APPENDIX-C-APEGA-MAPPING,@repo/docs/thesis/01_introduction.md:L0055|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0005;@repo/docs/thesis/03_philosophical_framework.md:L19|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-03-PHILOSOPHICAL-FRAMEWORK.html#SEC-DG015-0004;@repo/docs/thesis/03_philosophical_framework.md:L82|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-03-PHILOSOPHICAL-FRAMEWORK.html#SEC-DG015-0007;@repo/docs/thesis/04_architecture.md:L120|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0012;@repo/docs/thesis/04_architecture.md:L124|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0013;@repo/docs/thesis/07_se_design_analysis.md:L0398|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0034;@repo/docs/thesis/07_se_design_analysis.md:L0400|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0034;@repo/docs/thesis/appendix_c_apega_mapping.md:L33|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-APPENDIX-C-APEGA-MAPPING.html#SEC-DG025-0004;@repo/docs/thesis/appendix_c_apega_mapping.md:L111|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-APPENDIX-C-APEGA-MAPPING.html#SEC-DG025-0010,,5
orchestration,runtime orchestration,,SRC-DOCS-THESIS-01-INTRODUCTION,@repo/docs/thesis/01_introduction.md:L0027|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0003;@repo/docs/thesis/01_introduction.md:L0055|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0005,,1
contracts,,,SRC-DOCS-THESIS-01-INTRODUCTION,@repo/docs/thesis/01_introduction.md:L0055|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0005,,1
validation mechanisms,,,SRC-DOCS-THESIS-01-INTRODUCTION,@repo/docs/thesis/01_introduction.md:L0059|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0005,,1
instruction-level enforcement,agent instructions layer,Agent instructions layer depends on the LLM following instruction text and is a soft constraint.,SRC-DOCS-THESIS-01-INTRODUCTION;SRC-DOCS-THESIS-09-DISCUSSION,@repo/docs/thesis/01_introduction.md:L0074|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0006;@repo/docs/thesis/09_discussion.md:L36|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-09-DISCUSSION.html#SEC-DG021-0007;@repo/docs/thesis/09_discussion.md:L38|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-09-DISCUSSION.html#SEC-DG021-0007;@repo/docs/thesis/09_discussion.md:L48|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-09-DISCUSSION.html#SEC-DG021-0008,,2
multi-layer defense in depth,,,SRC-DOCS-THESIS-01-INTRODUCTION,@repo/docs/thesis/01_introduction.md:L0074|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0006,,1
empirical validation,controlled studies;empirical study,,SRC-DOCS-THESIS-01-INTRODUCTION,@repo/docs/thesis/01_introduction.md:L0071|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0006;@repo/docs/thesis/01_introduction.md:L0076|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-01-INTRODUCTION.html#SEC-DG013-0006,,1
AI agent architectures,LLM-based autonomous agents,"Architectures for agents that can reason, plan, use tools, delegate, and collaborate.",SRC-DOCS-THESIS-02-LITERATURE-REVIEW,@repo/docs/thesis/02_literature_review.md:L7|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0002;@repo/docs/thesis/02_literature_review.md:L19|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0003,,1
architecturally enforced governance framework,formal governance layer,A governance layer specifying what agents must not do and what evidence they must provide.,SRC-DOCS-THESIS-02-LITERATURE-REVIEW,@repo/docs/thesis/02_literature_review.md:L7|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0002;@repo/docs/thesis/02_literature_review.md:L57|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0009,,1
Chain-of-thought prompting,chain of thought,Prompting large language models with intermediate reasoning steps to improve reasoning-task performance.,SRC-DOCS-THESIS-02-LITERATURE-REVIEW,@repo/docs/thesis/02_literature_review.md:L23|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0004,,1
ReAct,Reasoning + Acting;Synergizing Reasoning and Acting in Language Models,An agent paradigm in which a language model interleaves reasoning traces with action calls against tools or environments.,SRC-DOCS-THESIS-02-LITERATURE-REVIEW;SRC-DOCS-THESIS-REFERENCES,@repo/docs/thesis/02_literature_review.md:L25|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0004;@repo/docs/thesis/references.md:L27|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-REFERENCES.html#SEC-DG031-0003,,2
Toolformer,Language Models Can Teach Themselves to Use Tools,"A model trained to decide which APIs to call, when to call them, what arguments to pass, and how to incorporate results.",SRC-DOCS-THESIS-02-LITERATURE-REVIEW;SRC-DOCS-THESIS-REFERENCES,@repo/docs/thesis/02_literature_review.md:L27|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0004;@repo/docs/thesis/references.md:L31|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-REFERENCES.html#SEC-DG031-0003,,2
TOOLMAKER subsystem,,"Chirality subsystem that provides deterministic, auditable tool implementations.",SRC-DOCS-THESIS-02-LITERATURE-REVIEW,@repo/docs/thesis/02_literature_review.md:L27|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0004,,1
AutoGen,conversable agents;conversation programming;Enabling Next-Gen LLM Applications via Multi-Agent Conversation,A framework for composing LLM applications from autonomous or human-proxy agents communicating through structured message sequences.,SRC-DOCS-THESIS-02-LITERATURE-REVIEW;SRC-DOCS-THESIS-REFERENCES,@repo/docs/thesis/02_literature_review.md:L31|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0005;@repo/docs/thesis/references.md:L33|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-REFERENCES.html#SEC-DG031-0003,Venue requires verification.,2
write-scope quarantine,write scope quarantine,A typed boundary separating read-only from write-capable operations.,SRC-DOCS-THESIS-02-LITERATURE-REVIEW,@repo/docs/thesis/02_literature_review.md:L31|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0005;@repo/docs/thesis/02_literature_review.md:L60|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0009,,1
MetaGPT,,A multi-agent framework encoding standardized operating procedures into prompt sequences with specialized software-engineering roles.,SRC-DOCS-THESIS-02-LITERATURE-REVIEW,@repo/docs/thesis/02_literature_review.md:L33|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0005,,1
invariant contracts,governance invariants,Formally specified runtime-enforced constraints on agent action independent of model weights or prompt content.;Used with fault containment to adapt classical formal methods to agent governance.,SRC-DOCS-THESIS-02-LITERATURE-REVIEW,@repo/docs/thesis/02_literature_review.md:L33|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0005;@repo/docs/thesis/02_literature_review.md:L59|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0009;@repo/docs/thesis/02_literature_review.md:L529|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0047,,1
LangGraph,,"A low-level orchestration infrastructure representing agent workflows as directed graphs with state, conditional edges, and persistent memory.",SRC-DOCS-THESIS-02-LITERATURE-REVIEW,@repo/docs/thesis/02_literature_review.md:L35|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0005,,1
Generative agents,Interactive Simulacra of Human Behavior,"Computational agents built on an LLM core augmented with memory stream, reflection mechanism, and daily planning module.",SRC-DOCS-THESIS-02-LITERATURE-REVIEW;SRC-DOCS-THESIS-REFERENCES,@repo/docs/thesis/02_literature_review.md:L41|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0006;@repo/docs/thesis/references.md:L29|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-REFERENCES.html#SEC-DG031-0003,,2
Constitutional AI,CAI;RLAIF;Harmlessness from AI Feedback,A training methodology using a self-critique loop guided by a written constitution and reinforcement learning from AI feedback.;Training approach where models self-critique against a set of principles.,SRC-DOCS-THESIS-02-LITERATURE-REVIEW;SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE;SRC-DOCS-THESIS-REFERENCES,@repo/docs/thesis/02_literature_review.md:L45|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0007;@repo/docs/thesis/02_literature_review.md:L116|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0014;@repo/docs/thesis/05_epistemic_architecture.md:L185|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE.html#SEC-DG017-0015;@repo/docs/thesis/05_epistemic_architecture.md:L187|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE.html#SEC-DG017-0015;@repo/docs/thesis/references.md:L35|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-REFERENCES.html#SEC-DG031-0003,Alternative approach compared against Chirality.;Venue and publication status require verification.,3
hierarchical agent architectures,tiered agent authority,Architectures that organize agents into layered authority or mother-child delegation relationships.,SRC-DOCS-THESIS-02-LITERATURE-REVIEW,@repo/docs/thesis/02_literature_review.md:L47|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0008;@repo/docs/thesis/02_literature_review.md:L49|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0008,,1
gate-controlled human authority,gate-controlled human approval,A formal mechanism requiring human principal approval for operations above a defined authority threshold.,SRC-DOCS-THESIS-02-LITERATURE-REVIEW,@repo/docs/thesis/02_literature_review.md:L61|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0009;@repo/docs/thesis/02_literature_review.md:L51|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0008,,1
epistemic transparency obligations,per-claim transparency,"Structural requirements that output claims carry provenance metadata, confidence class, and derivation path.",SRC-DOCS-THESIS-02-LITERATURE-REVIEW,@repo/docs/thesis/02_literature_review.md:L62|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0009;@repo/docs/thesis/02_literature_review.md:L143|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0017,,1
intrinsic hallucination,,Hallucination that contradicts source material.,SRC-DOCS-THESIS-02-LITERATURE-REVIEW,@repo/docs/thesis/02_literature_review.md:L100|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0012,,1
extrinsic hallucination,,Hallucination that introduces information absent from the source.,SRC-DOCS-THESIS-02-LITERATURE-REVIEW,@repo/docs/thesis/02_literature_review.md:L100|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0012,,1
factuality hallucination,,Hallucination involving claims unsupported by world knowledge.,SRC-DOCS-THESIS-02-LITERATURE-REVIEW,@repo/docs/thesis/02_literature_review.md:L102|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0012,,1
faithfulness hallucination,,Hallucination involving claims inconsistent with provided context.,SRC-DOCS-THESIS-02-LITERATURE-REVIEW,@repo/docs/thesis/02_literature_review.md:L102|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0012,,1
FActScore,,A fine-grained factuality metric that decomposes long-form model generation into atomic facts and measures source support.,SRC-DOCS-THESIS-02-LITERATURE-REVIEW,@repo/docs/thesis/02_literature_review.md:L108|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0013,,1
Reinforcement Learning from Human Feedback,RLHF,"An alignment pipeline using supervised fine-tuning, reward-model training from human preferences, and PPO reinforcement learning.",SRC-DOCS-THESIS-02-LITERATURE-REVIEW,@repo/docs/thesis/02_literature_review.md:L112|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0014;@repo/docs/thesis/02_literature_review.md:L132|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0017,,1
Retrieval-Augmented Generation,RAG,A generation architecture grounding outputs in retrieved external documents rather than parametric memory alone.,SRC-DOCS-THESIS-02-LITERATURE-REVIEW,@repo/docs/thesis/02_literature_review.md:L114|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0014;@repo/docs/thesis/02_literature_review.md:L136|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0017,,1
confidence calibration,Expected Calibration Error;ECE;temperature scaling,Evaluation and adjustment of whether predicted confidence scores match empirical accuracy rates.,SRC-DOCS-THESIS-02-LITERATURE-REVIEW,@repo/docs/thesis/02_literature_review.md:L120|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0015,,1
NIST AI RMF 1.0,AI Risk Management Framework,"A process framework defining trustworthy AI characteristics and Govern, Map, Measure, and Manage functions.",SRC-DOCS-THESIS-02-LITERATURE-REVIEW,@repo/docs/thesis/02_literature_review.md:L124|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0016,,1
EU AI Act,Regulation (EU) 2024/1689,A legal framework classifying AI systems by risk tier and imposing transparency and accountability obligations on high-risk systems.,SRC-DOCS-THESIS-02-LITERATURE-REVIEW,@repo/docs/thesis/02_literature_review.md:L126|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0016,,1
mandatory provenance attachment,,A requirement that every output claim carry a machine-readable pointer to its source observation or retrieved document.,SRC-DOCS-THESIS-02-LITERATURE-REVIEW,@repo/docs/thesis/02_literature_review.md:L140|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0017,,1
no-invention rule,K-INVENT-1,A runtime-enforced prohibition on generating claims that cannot be traced to a source in the defined retrieval scope.,SRC-DOCS-THESIS-02-LITERATURE-REVIEW;SRC-DOCS-THESIS-09-DISCUSSION,@repo/docs/thesis/02_literature_review.md:L141|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-02-LITERATURE-REVIEW.html#SEC-DG014-0017;@repo/docs/thesis/09_discussion.md:L47|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-09-DISCUSSION.html#SEC-DG021-0008,,2
