LocalSeq,UnitStatement,SourceRef,ContentHash,InOutStatus,SectionID,DispatchUnitID,Corrects,Notes
1,DEL-13-04 is named the Physical-to-analytical transformation contract.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Datasheet.md:L12|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0004,5bbf2a85a25c,IN,SEC-ED079-0004,UNIT-ED079-0001,,
60,"Implementation work should consume approved upstream contracts through explicit sealed scope and should not reclassify dependencies, expand schema vocabulary, or infer owner/code criteria.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Guidance.md:L39|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0017,98f103dacb92,IN,SEC-ED079-0017,UNIT-ED079-0001,,
61,"Current transform diagnostics use classes such as SOLVE_BLOCKING, ASSUMPTION_WARNING, and NONLINEAR_WARNING; adapter diagnostics classify blocking findings as SOLVE_BLOCKING and other findings as diagnostic evidence only.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Guidance.md:L43|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0018,75d2e515e2ee,IN,SEC-ED079-0018,UNIT-ED079-0001,,
62,"Transformation and adapter findings should be deterministic, source-linked, and reviewable, and must not state the model is compliant, professionally accepted, release-ready, or externally proven.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Guidance.md:L45|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0018,12131ae13c07,IN,SEC-ED079-0018,UNIT-ED079-0001,,
63,"Public artifacts must not supply protected or proprietary values for component, material, section, support, load, constraint, or design-knowledge references; unknown or suspected protected sources require review/quarantine rather than normalization into public defaults.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Guidance.md:L49|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0019,436fb2a88ddc,IN,SEC-ED079-0019,UNIT-ED079-0001,,
64,Tests should use invented or permitted fixtures and should include provenance where data matters.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Guidance.md:L51|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0019,e70f2c9abfff,IN,SEC-ED079-0019,UNIT-ED079-0001,,
65,Preserve physical richness through traceability and warnings rather than forcing all data into solver elements.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Guidance.md:L57|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0020,62fd31722df9,IN,SEC-ED079-0020,UNIT-ED079-0001,,
66,"Prefer explicit TBD, warning, or diagnostic records over hidden convenience defaults.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Guidance.md:L58|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0020,da2c835c8c21,IN,SEC-ED079-0020,UNIT-ED079-0001,,
67,"Specify behavior proven by SOW, decomposition, invariants, implementation, and tests; leave release taxonomy, external prover behavior, GUI/runtime/API integration, persistence/handoff readiness, and professional acceptance TBD.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Guidance.md:L59|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0020,901631e2b3b6,IN,SEC-ED079-0020,UNIT-ED079-0001,,
68,Keep routine transformation aimed at 3D centerline/frame analysis and treat shell/solid FEA as a separate handoff path.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Guidance.md:L60|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0020,21b2997cb5b2,IN,SEC-ED079-0020,UNIT-ED079-0001,,
69,"Executable invented examples are public-permissive test evidence, not owner/project or professional design examples; publication-grade and owner examples remain TBD.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Guidance.md:L64|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0021,54d068ec99a9,IN,SEC-ED079-0021,UNIT-ED079-0001,,
70,"PRD v0.2 Section 8.3 / FR-MOD-007 is not locally available, so PRD-specific transform clauses beyond SOW-066 wording remain TBD.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Guidance.md:L70|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0022,eacaf4491ced,TBD,SEC-ED079-0022,UNIT-ED079-0001,,
71,Broader upstream integration beyond current DEL-13-02/DEL-13-03 refresh evidence remains TBD until bounded implementation evidence exists.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Guidance.md:L71|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0022,407121906a19,TBD,SEC-ED079-0022,UNIT-ED079-0001,,
72,OI-012 unresolved architecture detail means the transform-loss taxonomy cannot be finalized here and requires a later architecture/detail task.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Guidance.md:L72|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0022,746d7156205c,TBD,SEC-ED079-0022,UNIT-ED079-0001,,
73,"The procedure defines a conservative workflow that keeps the physical model as source of truth, derives a solver-ready analytical representation, records transformation diagnostics, and preserves traceability without protected data, hidden defaults, API expansion, GUI/runtime behavior, external prover claims, or professional compliance claims.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Procedure.md:L9|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0025,3207588345be,IN,SEC-ED079-0025,UNIT-ED079-0001,,
74,"Treat Dependencies.csv as the approved DAG-006 mirror/evidence surface; preserve approved rows as ACTIVE and do not retire, delete, or reclassify them during setup.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Procedure.md:L27|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0026,ab42340b2c09,IN,SEC-ED079-0026,UNIT-ED079-0001,,
75,Use only source-cleared or invented/public-permissive data in examples and tests; suspected protected content must be quarantined and escalated.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Procedure.md:L28|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0026,7f526763d7d6,IN,SEC-ED079-0026,UNIT-ED079-0001,,
76,Identify the physical model as the source-of-truth input.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Procedure.md:L41|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0028,e57de5121604,IN,SEC-ED079-0028,UNIT-ED079-0001,,
77,Identify the analytical model as a derived solver-ready output with model_role = analytical_solver_model and source_model_ref pointing back to the physical model.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Procedure.md:L42|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0028,822235c7b9e7,IN,SEC-ED079-0028,UNIT-ED079-0001,,
78,Confirm the default target mechanics boundary is the 3D centerline/frame model.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Procedure.md:L43|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0028,9b0c749ec0ee,IN,SEC-ED079-0028,UNIT-ED079-0001,,
79,"Supported physical-record coverage includes nodes, straight-pipe elements, supported component metadata referenced by valid elements, materials, sections, supports, load cases, combinations, diagnostics, unresolved assumptions, and traceability links.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Procedure.md:L44|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0028,a8fd39fae89d,IN,SEC-ED079-0028,UNIT-ED079-0001,,
80,Record broader physical-record coverage as TBD unless implementation/tests explicitly define its handling.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Procedure.md:L45|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0028,e834fd0a216b,IN,SEC-ED079-0028,UNIT-ED079-0001,,
81,"For each unit-bearing input, require explicit unit metadata unless the field is explicitly dimensionless.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Procedure.md:L56|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0029,2d613acefab0,IN,SEC-ED079-0029,UNIT-ED079-0001,,
82,"For each input whose source, provenance, or units are missing, define a diagnostic/warning path instead of a silent default.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Procedure.md:L57|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0029,57814bdcfa85,IN,SEC-ED079-0029,UNIT-ED079-0001,,
83,"Schema-shaped contract fields include id, model_role, coordinate_system, nodes, elements, components, materials, sections, supports, load_cases, combinations, design_knowledge_refs, constraint_refs, diagnostics, unresolved_assumptions, and traceability_links.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Procedure.md:L58|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0029,b3fd99f7b37c,IN,SEC-ED079-0029,UNIT-ED079-0001,,
84,"Specify traceability links from physical inputs to analytical output records, warnings/diagnostics, omissions, assumptions, and unresolved TBD items.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Procedure.md:L65|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0030,6d4ba2bee460,IN,SEC-ED079-0030,UNIT-ED079-0001,,
85,"The internal adapter specifies DTO outputs only as internal solver-boundary evidence: nodes, straight-pipe connectivity, property bindings, support targets, load-case records/applications, adapter DTO identity/hash/source-chain records, load-case diagnostics, and diagnostics.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Procedure.md:L71|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0030,a029902d1760,IN,SEC-ED079-0030,UNIT-ED079-0001,,
86,"Do not encode compliance, approval, certification, external-prover success, release readiness, or professional reliance status in transform or adapter outputs.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Procedure.md:L72|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0030,a88268f064ba,IN,SEC-ED079-0030,UNIT-ED079-0001,,
87,"Define deterministic behavior in terms of equivalent input model, units, transform contract version, and configuration.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Procedure.md:L76|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0031,7444d0068c33,IN,SEC-ED079-0031,UNIT-ED079-0001,,
88,Adapter DTO hash evidence uses sha256 over sorted JSON payloads with JCS vocabulary where implemented.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Procedure.md:L78|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0031,f2cd39173a29,IN,SEC-ED079-0031,UNIT-ED079-0001,,
89,Release-grade canonicalization and broader audit-manifest policy remain TBD unless fixed by a later governed decision.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Procedure.md:L79|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0031,ff4b025817b7,TBD,SEC-ED079-0031,UNIT-ED079-0001,,
90,"Warning tests must include negative cases for missing solve-required physical input, physical data lacking a solver-ready analytical representation, and missing or ambiguous unit metadata on a unit-bearing value.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Procedure.md:L85|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0032,624df2b3f784,IN,SEC-ED079-0032,UNIT-ED079-0001,,
91,Mark uncertain protected content TBD or protected_suspected according to policy and escalate suspected protected content rather than normalizing it into public examples.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Procedure.md:L98|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0033,29e5b7e8b0b9,IN,SEC-ED079-0033,UNIT-ED079-0001,,
92,The internal adapter accepts only strict analytical_solver_model mappings and reports DTO/load/orientation/property failures as diagnostics.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Procedure.md:L113|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0034,c12e60d7bf81,IN,SEC-ED079-0034,UNIT-ED079-0001,,
93,Existing local dependency rows must remain unchanged during evidence refresh; historical row IDs remain audit evidence under the DAG-006 coordination basis.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Procedure.md:L114|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0034,36f94675511f,IN,SEC-ED079-0034,UNIT-ED079-0001,,
94,"Remaining TBD records include final transform-loss taxonomy, release thresholds, external prover behavior, GUI/runtime/API integration, persisted/handoff readiness, broader physical-record coverage, human acceptance, and professional/code-compliance boundaries.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Procedure.md:L139|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0035,600aa3a3089f,TBD,SEC-ED079-0035,UNIT-ED079-0001,,
95,DEL-13-04 specifies the backend contract for transforming the schema-backed physical model into a solver-ready analytical model and recording traceable transformation warnings when physical design data cannot be represented analytically.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Specification.md:L9|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0038,ec9a45525389,IN,SEC-ED079-0038,UNIT-ED079-0001,,
96,In scope: a deterministic physical-to-analytical transformation contract for SOW-066.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Specification.md:L13|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0039,20b0a0907ee8,IN,SEC-ED079-0039,UNIT-ED079-0001,,
97,"In scope: warning/diagnostic behavior for omitted, unsupported, incomplete, or non-representable physical design data.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Specification.md:L14|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0039,bce340185262,IN,SEC-ED079-0039,UNIT-ED079-0001,,
98,"In scope: traceability from source physical model records to derived analytical model records, warnings, omissions, or assumptions.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Specification.md:L15|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0039,704e0f750348,IN,SEC-ED079-0039,UNIT-ED079-0001,,
99,In scope: contract-level tests for transformation warnings.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Specification.md:L16|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0039,c1a76312b27c,IN,SEC-ED079-0039,UNIT-ED079-0001,,
100,"In scope: integration posture with architecture-basis constraints including Rust core/application services, schema-first command/query/job result envelopes, JSON Schema 2020-12 contracts, diagnostics/result envelopes, and deterministic tests.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Specification.md:L17|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0039,5c59e1aacdeb,IN,SEC-ED079-0039,UNIT-ED079-0001,,
101,"Out of scope: protected standards data, code-specific defaults, protected tables, copied formulas, owner standards, proprietary catalog values, or private project data.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Specification.md:L21|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0040,86254b72c5e4,IN,SEC-ED079-0040,UNIT-ED079-0001,,
102,"Out of scope: final engineering acceptance, code compliance, certification, sealing, approval, or professional reliance claims.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Specification.md:L22|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0040,fce90dddcf7c,IN,SEC-ED079-0040,UNIT-ED079-0001,,
103,"Out of scope: owner standards or final acceptance logic for physical design constraints, per PKG-13 package exclusions.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Specification.md:L23|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0040,aa38abfe5982,IN,SEC-ED079-0040,UNIT-ED079-0001,,
104,"Out of scope: final transform-loss taxonomy, release thresholds, dependency versions, external prover behavior, GUI/runtime/API integration, persisted/handoff readiness, broader physical-record coverage, and human/professional acceptance.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Specification.md:L24|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0040,d4b869f8ef88,IN,SEC-ED079-0040,UNIT-ED079-0001,,
105,"contract.py implements transform_physical_to_analytical(...), TransformSettings, TransformResult, deterministic ordering, analytical_solver_model output, PTA-* diagnostics, and physical-to-analytical traceability links.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Specification.md:L30|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0041,b3d0d6738ca7,IN,SEC-ED079-0041,UNIT-ED079-0001,,
106,"_solver_boundary_adapter.py implements the internal adapt_analytical_solver_model(...) DTO boundary emitting node DTOs, straight-pipe connectivity, property bindings, support targets, load-case records/applications, adapter DTO identity/hash/source-chain records, load_case_diagnostics, and adapter diagnostics.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Specification.md:L31|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0041,d9ba67d9df6f,IN,SEC-ED079-0041,UNIT-ED079-0001,,
107,"invented_physical_source_of_truth_model.json is the canonical invented fixture with public-permissive nodes, a straight-pipe element, governed y_reference, material/section quantities, a support, strict load records, assumption/diagnostic evidence, and traceability.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Specification.md:L32|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0041,607547dd78ec,IN,SEC-ED079-0041,UNIT-ED079-0001,,
108,"The current evidence does not implement a GUI command path, runtime service envelope, public API, persistence/handoff package readiness, external prover behavior, full release threshold policy, or human/professional acceptance.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Specification.md:L36|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0041,abdac1c0965e,TBD,SEC-ED079-0041,UNIT-ED079-0001,,
109,REQ-001: the contract shall transform the physical model into a solver-ready analytical model deterministically.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Specification.md:L42|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0042,6fda500030fc,IN,SEC-ED079-0042,UNIT-ED079-0001,,
110,REQ-002: the contract shall record transformation warnings or diagnostics when physical design data cannot be represented analytically.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Specification.md:L43|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0042,03f7d1f2565f,IN,SEC-ED079-0042,UNIT-ED079-0001,,
111,REQ-003: the contract shall preserve the physical model as the editable source-of-truth and produce the analytical model as a derived solver-oriented view.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Specification.md:L44|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0042,3576395ea24a,IN,SEC-ED079-0042,UNIT-ED079-0001,,
112,"REQ-004: the contract shall preserve traceability from physical source records to analytical records, omissions, assumptions, warnings, or other transform outcomes.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Specification.md:L45|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0042,c2c27a772b55,IN,SEC-ED079-0042,UNIT-ED079-0001,,
113,REQ-005: unit-bearing physical values crossing the transform boundary shall carry explicit unit metadata unless explicitly dimensionless.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Specification.md:L46|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0042,1089253dfd9e,IN,SEC-ED079-0042,UNIT-ED079-0001,,
114,REQ-006: missing solve-required values shall be represented as explicit findings and shall not be silently defaulted.,@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Specification.md:L47|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0042,bf61322fe32f,IN,SEC-ED079-0042,UNIT-ED079-0001,,
115,"REQ-007: the analytical output shall target the project primary global mechanics boundary, a 3D centerline/frame model.",@repo/execution/PKG-13_Physical Design Knowledge and Constraint Engine/1_Working/DEL-13-04_Physical-to-analytical transformation contract/Specification.md:L48|_Decomposition/source_review_html/SRC-DEL-DEL-13-04-PHYSICAL-TO-ANALYTICAL-TRANSFORMATION-CONTRACT.html#SEC-ED079-0042,2e8c40b580f5,IN,SEC-ED079-0042,UNIT-ED079-0001,,
